fen,move,move_san,move_number,to_move,evaluation,piece_count
r1bqkb1r/pp1ppppp/2n5/3nP3/3p4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 2 6,f1c4,Bc4,11,white,-1.0,31
r1bqkb1r/pp1ppppp/2n5/3nP3/2Bp4/2P2N2/PP3PPP/RNBQK2R b KQkq - 3 6,d5b6,Nb6,12,black,-1.0,31
r1bqkb1r/pp1ppppp/1nn5/4P3/2Bp4/2P2N2/PP3PPP/RNBQK2R w KQkq - 4 7,c4b3,Bb3,13,white,-1.0,31
r1bqkb1r/pp1ppppp/1nn5/4P3/3p4/1BP2N2/PP3PPP/RNBQK2R b KQkq - 5 7,d7d5,d5,14,black,-1.0,31
r1bqkb1r/pp2pppp/1nn5/3pP3/3p4/1BP2N2/PP3PPP/RNBQK2R w KQkq d6 0 8,e5d6,exd6,15,white,-1.0,31
r1bqkb1r/pp2pppp/1nnP4/8/3p4/1BP2N2/PP3PPP/RNBQK2R b KQkq - 0 8,d8d6,Qxd6,16,black,0.0,30
r1b1kb1r/pp2pppp/1nnq4/8/3p4/1BP2N2/PP3PPP/RNBQK2R w KQkq - 0 9,e1g1,O-O,17,white,-1.0,29
r1b1kb1r/pp2pppp/1nnq4/8/3p4/1BP2N2/PP3PPP/RNBQ1RK1 b kq - 1 9,e7e5,e5,18,black,-1.0,29
r1b1kb1r/pp3ppp/1nnq4/4p3/3p4/1BP2N2/PP3PPP/RNBQ1RK1 w kq - 0 10,c3d4,cxd4,19,white,-1.0,29
r1b1kb1r/pp3ppp/1nnq4/4p3/3P4/1B3N2/PP3PPP/RNBQ1RK1 b kq - 0 10,e5d4,exd4,20,black,0.0,28
r1b1kb1r/pp3ppp/1nnq4/8/3p4/1B3N2/PP3PPP/RNBQ1RK1 w kq - 0 11,b1a3,Na3,21,white,-1.0,27
r1b1kb1r/pp3ppp/1nnq4/8/3p4/NB3N2/PP3PPP/R1BQ1RK1 b kq - 1 11,f8e7,Be7,22,black,-1.0,27
r1b1k2r/pp2bppp/1nnq4/8/3p4/NB3N2/PP3PPP/R1BQ1RK1 w kq - 2 12,c1g5,Bg5,23,white,-1.0,27
r1b1k2r/pp2bppp/1nnq4/6B1/3p4/NB3N2/PP3PPP/R2Q1RK1 b kq - 3 12,e7g5,Bxg5,24,black,-1.0,27
r1b1k2r/pp3ppp/1nnq4/6b1/3p4/NB3N2/PP3PPP/R2Q1RK1 w kq - 0 13,f3g5,Nxg5,25,white,-4.3,26
r1b1k2r/pp3ppp/1nnq4/6N1/3p4/NB6/PP3PPP/R2Q1RK1 b kq - 0 13,e8g8,O-O,26,black,-1.0,25
r1b2rk1/pp3ppp/1nnq4/6N1/3p4/NB6/PP3PPP/R2Q1RK1 w - - 1 14,d1h5,Qh5,27,white,-1.0,25
r1b2rk1/pp3ppp/1nnq4/6NQ/3p4/NB6/PP3PPP/R4RK1 b - - 2 14,d6g6,Qg6,28,black,-1.0,25
r1b2rk1/pp3ppp/1nn3q1/6NQ/3p4/NB6/PP3PPP/R4RK1 w - - 3 15,h5g6,Qxg6,29,white,-1.0,25
r1b2rk1/pp3ppp/1nn3Q1/6N1/3p4/NB6/PP3PPP/R4RK1 b - - 0 15,h7g6,hxg6,30,black,8.0,24
r1b2rk1/pp3pp1/1nn3p1/6N1/3p4/NB6/PP3PPP/R4RK1 w - - 0 16,a3b5,Nb5,31,white,-1.0,23
r1b2rk1/pp3pp1/1nn3p1/1N4N1/3p4/1B6/PP3PPP/R4RK1 b - - 1 16,c6a5,Na5,32,black,-1.0,23
